task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
122	49/2636a1	1933	sampleInfo (63)	CACHED	0	2025-07-15 16:35:21.575	34.4s	227ms	20.3%	2.6 MB	7.1 MB	571.5 KB	765 B
65	d7/4c26c7	1861	sampleInfo (33)	CACHED	0	2025-07-15 16:34:56.299	59.6s	280ms	20.7%	3.3 MB	7.1 MB	571.5 KB	765 B
80	e4/e4d5c7	1883	downloadReadFTP (39)	CACHED	0	2025-07-15 16:35:03.608	7m 42s	7m 21s	0.6%	32.4 MB	50.2 MB	943.4 MB	471.4 MB
85	bd/65fd8f	1851	downloadReadFTP (41)	CACHED	0	2025-07-15 16:34:53.093	13m 2s	12m 51s	0.4%	28 MB	52.1 MB	1.1 GB	558.2 MB
71	e6/4f2119	1988	sampleInfo (36)	CACHED	0	2025-07-15 16:36:26.295	1m 5s	107ms	43.2%	5.3 MB	14.2 MB	571.4 KB	777 B
64	17/ac2319	1880	sampleInfo (32)	CACHED	0	2025-07-15 16:35:03.017	33s	342ms	11.0%	2.6 MB	7.1 MB	571.4 KB	777 B
91	c6/58dfd0	1902	sampleInfo (46)	CACHED	0	2025-07-15 16:35:06.611	49.3s	395ms	12.1%	2.6 MB	7.1 MB	571.5 KB	765 B
92	31/ebbf81	1903	sampleInfo (47)	CACHED	0	2025-07-15 16:35:06.888	1m 9s	559ms	8.7%	3.3 MB	7.1 MB	571.4 KB	776 B
27	57/673f11	2025	sampleInfo (14)	CACHED	0	2025-07-15 16:37:21.557	1m 4s	97ms	47.5%	5.8 MB	14.2 MB	571.4 KB	777 B
62	f4/7c7e30	1855	sampleInfo (31)	CACHED	0	2025-07-15 16:34:54.310	11.6s	805ms	4.8%	2.6 MB	7.1 MB	571.5 KB	764 B
138	f5/42fcfc	1916	sampleInfo (70)	CACHED	0	2025-07-15 16:35:18.188	37.7s	176ms	25.2%	3.2 MB	7.1 MB	571.5 KB	765 B
106	4c/63c9d8	1960	sampleInfo (54)	CACHED	0	2025-07-15 16:35:51.085	14.8s	186ms	25.7%	3.2 MB	7.1 MB	571.5 KB	765 B
18	25/8829b3	1991	downloadReadFTP (9)	CACHED	0	2025-07-15 16:36:36.136	39m	38m 48s	0.1%	28.7 MB	49.6 MB	819 MB	409.2 MB
31	f4/4028ba	1856	downloadReadFTP (14)	CACHED	0	2025-07-15 16:34:54.501	17m 41s	17m 12s	0.3%	26.1 MB	50.6 MB	985.8 MB	492.6 MB
2	49/2636a1	1933	sampleInfo (63)	CACHED	0	2025-07-15 16:35:21.575	34.4s	227ms	20.3%	2.6 MB	7.1 MB	571.5 KB	765 B
52	3e/2cec68	2003	sampleInfo (26)	CACHED	0	2025-07-15 16:36:51.893	9.1s	141ms	39.3%	2.8 MB	7.1 MB	568 KB	775 B
143	75/928c13	1971	sampleInfo (73)	CACHED	0	2025-07-15 16:35:56.944	1m 4s	101ms	54.1%	5.2 MB	14.2 MB	571.4 KB	777 B
41	67/913756	1920	downloadReadFTP (19)	CACHED	0	2025-07-15 16:35:19.148	28m 52s	28m 14s	0.2%	33 MB	49.8 MB	1019.4 MB	509.4 MB
107	36/b88b12	1943	downloadReadFTP (52)	CACHED	0	2025-07-15 16:35:24.067	34m 42s	34m 12s	0.2%	36.9 MB	51.4 MB	1.1 GB	575 MB
144	4b/be03a3	2013	sampleInfo (74)	CACHED	0	2025-07-15 16:37:02.432	1m 5s	270ms	28.4%	3.2 MB	7.1 MB	568 KB	775 B
16	4b/2166f1	2011	sampleInfo (8)	CACHED	0	2025-07-15 16:37:02.109	1m 5s	149ms	31.7%	6.5 MB	14.2 MB	571.5 KB	777 B
21	cb/d43a7e	1996	sampleInfo (10)	CACHED	0	2025-07-15 16:36:51.163	9.9s	154ms	30.7%	5.3 MB	14.2 MB	571.5 KB	777 B
11	13/3fac54	1937	downloadReadFTP (5)	CACHED	0	2025-07-15 16:35:22.761	45m 23s	44m 49s	0.1%	36.7 MB	52.2 MB	1.1 GB	559.2 MB
130	5c/a20c1f	2016	sampleInfo (67)	CACHED	0	2025-07-15 16:37:02.868	1m 5s	173ms	54.9%	2.8 MB	223.2 MB	517.8 KB	775 B
125	38/350802	1849	downloadReadFTP (60)	CACHED	0	2025-07-15 16:34:52.446	14m 38s	14m 26s	0.5%	31.8 MB	53.8 MB	1.4 GB	714.6 MB
99	37/5310d8	1867	downloadReadFTP (48)	CACHED	0	2025-07-15 16:34:58.363	19m 47s	18m 48s	0.3%	29.4 MB	51.2 MB	1.1 GB	545.1 MB
46	c1/bc130e	2012	downloadReadFTP (22)	CACHED	0	2025-07-15 16:37:02.251	50m 34s	50m 16s	0.1%	37.4 MB	52.3 MB	1.1 GB	561.2 MB
134	61/5add6b	2211	downloadReadFTP (65)	CACHED	0	2025-07-16 05:58:38.521	6m 3s	5m 12s	1.0%	29.2 MB	50.8 MB	1 GB	534.7 MB
5	70/402c05	2197	downloadReadFTP (2)	CACHED	0	2025-07-16 05:58:31.501	29m 26s	28m 44s	0.2%	30.8 MB	50.5 MB	1021.3 MB	510.4 MB
32	04/fa970d	2020	sampleInfo (17)	CACHED	0	2025-07-15 16:37:21.037	10.1s	925ms	4.3%	5.3 MB	14.2 MB	571.5 KB	764 B
72	9f/0afccb	2213	downloadReadFTP (35)	CACHED	0	2025-07-16 05:58:39.041	29m	27m 54s	0.2%	28.2 MB	51.3 MB	995.2 MB	497.3 MB
6	a4/8e0223	2009	sampleInfo (3)	CACHED	0	2025-07-15 16:37:01.834	19.1s	352ms	13.9%	4.5 MB	14.2 MB	571.5 KB	765 B
140	d0/5d9c67	2207	downloadReadFTP (69)	CACHED	0	2025-07-16 05:58:34.548	31m 9s	30m 1s	0.2%	27.4 MB	50.5 MB	997.5 MB	498.5 MB
